Tm,Tr,Tc,test#1,test#2,test#3,test#4,test#5,test#6,test#7,test#8,test#9,test#10,MIN Kernel Time,Block_Size,GFLOPS
17,16,16,18.56,17.501,18.623,16.448,20.2,19.759,27.27,17.185,27.165,18.291,16.448,4352,8.160124514
4,16,10,19.321,19.817,16.462,18.33,17.38,17.631,21.296,16.988,27.099,27.373,16.462,640,8.153184789
14,16,9,19.005,16.478,17.132,27.02,19.53,18.61,19.455,19.288,21.041,19.588,16.478,2016,8.145268115
7,13,16,19.033,19.396,17.503,18.534,16.941,18.623,16.485,17.225,17.104,17.316,16.485,1456,8.141809402
16,16,16,17.2,18.84,17.302,16.501,16.962,17.059,17.799,16.827,17.309,17.262,16.501,4096,8.133914793
16,12,11,21.186,25.389,17.01,16.504,19.546,17.248,17.972,17.679,17.776,17.123,16.504,2112,8.132436258
5,6,8,18.165,18.62,19.618,19.483,17.459,17.581,17.299,18.827,16.507,17.301,16.507,240,8.13095826
15,5,13,17.281,18.677,18.357,17.521,16.547,17.78,17.162,20.093,27.307,26.971,16.547,975,8.111302834
7,16,9,17.681,18.681,17.221,17.066,17.915,18.071,16.548,17.206,17.407,17.486,16.548,1008,8.110812666
15,12,16,24.483,18.834,17.931,19.222,16.548,17.777,16.951,17.188,17.362,17.107,16.548,2880,8.110812666
16,4,15,19.17,16.557,19.788,18.08,17.401,18.028,17.47,16.724,16.925,19.679,16.557,960,8.106403817
16,16,11,26.994,17.972,17.77,16.896,17.182,17.148,18.553,18.049,17.736,16.57,16.57,2816,8.100043935
16,4,16,18.998,16.621,17.689,16.896,18.546,16.572,18.504,17.192,17.158,17.448,16.572,1024,8.099066377
4,5,15,19.432,19.513,17.785,18.08,17.045,17.447,17.893,16.584,18.457,17.288,16.584,300,8.093205982
9,14,14,17.415,20.098,16.589,18.359,18.168,19.298,16.987,17.506,18.387,17.44,16.589,1764,8.090766653
5,5,10,17.976,18.402,16.591,17.604,17.06,17.679,20.107,16.917,17.684,17.455,16.591,250,8.089791333
16,13,6,18.286,16.914,17.837,19.602,18.558,16.593,18.815,18.215,17.134,17.49,16.593,1248,8.088816248
8,12,4,19.64,16.597,17.799,17.978,17.263,17.15,17.56,27.42,27.905,17.387,16.597,384,8.086866783
14,6,12,21.105,18.543,16.851,20.924,16.916,18.854,16.599,17.953,22.449,20.485,16.599,1008,8.085892403
15,9,16,18.823,16.6,18.33,16.933,17.333,16.962,18.324,17.534,16.939,17.315,16.6,2160,8.085405301
17,15,8,20.699,17.407,17.49,16.609,17.044,17.205,17.339,17.098,18.096,18.611,16.609,2040,8.081024023
12,13,5,18.252,18.72,16.612,19.054,16.992,18.426,21.401,18.193,19.315,18.118,16.612,780,8.079564652
15,7,9,18.067,19.914,19.282,17.931,17.997,17.05,17.485,16.612,19.164,27.085,16.612,945,8.079564652
11,6,15,17.098,17.181,17.487,18.554,17.868,18.835,16.614,18.159,19.525,18.355,16.614,990,8.078592031
15,11,15,16.615,18.088,17.916,17.578,18.634,16.891,18.225,18.023,18.35,26.974,16.615,2475,8.078105808
16,16,9,18.904,18.039,16.9,17.139,18.143,17.591,16.615,18.773,17.115,17.817,16.615,2304,8.078105808
6,13,11,18.043,18.589,18.297,27.125,27.514,19.719,16.617,19.266,18.028,17.095,16.617,858,8.077133538
9,14,16,17.834,17.43,16.687,20.034,16.798,17.186,17.803,19.088,16.617,17.808,16.617,2016,8.077133538
14,9,16,18.13,16.623,17.238,18.617,17.903,17.055,18.614,18.429,27.441,27.491,16.623,2016,8.074218132
20,14,10,19.498,17.747,19.079,26.981,17.284,17.296,18.418,18.301,16.624,17.962,16.624,2800,8.073732435
14,13,9,17.606,19.344,16.631,18.144,17.455,18.337,17.325,16.916,18.399,23.861,16.631,1638,8.070334195
4,15,16,20.003,19.298,17.743,18.416,16.635,17.426,20.168,27.176,20.994,19.581,16.635,960,8.068393628
13,6,14,17.741,18.381,17.52,18.747,19.268,18.539,17.405,26.936,27.13,16.636,16.636,1092,8.067908632
14,6,7,17.659,20.112,16.636,18.085,17.232,17.802,17.186,19.713,17.049,20.298,16.636,588,8.067908632
19,16,14,17.332,17.334,17.703,16.892,16.784,17.38,17.178,26.968,18.737,16.64,16.64,4256,8.065969231
17,15,6,28.084,18.487,18.488,16.641,17.877,17.56,17.813,19.938,17.625,17.001,16.641,1530,8.065484526
20,14,11,20.607,18.731,16.872,20.991,27.369,16.644,17.364,17.113,18.829,17.71,16.644,3080,8.064030762
8,10,13,19.617,27.146,21.229,16.645,17.913,19.239,17.955,16.881,17.561,17.608,16.645,1040,8.06354629
19,16,13,16.904,26.888,27.137,27.249,18.587,17.487,19.701,17.873,16.647,18.889,16.647,3952,8.062577521
8,4,11,17.499,18.509,18.471,17.088,17.052,17.855,18.981,17.033,18.276,16.648,16.648,352,8.062093224
11,7,15,18.13,17.7,18.704,17.934,18.118,18.243,16.65,17.21,18.198,18.037,16.65,1155,8.061124805
16,4,9,17.63,16.65,17.993,17.244,18.33,17.728,17.532,17.167,17.312,18.265,16.65,576,8.061124805
15,14,6,18.861,19.046,18.859,18.854,17.096,17.834,18.758,21.182,16.651,18.289,16.651,1260,8.060640682
21,14,8,28.182,17.916,27.718,17.693,27.672,19.012,18.929,17.275,16.652,17.143,16.652,2352,8.060156618
14,12,16,27.099,27.624,17.457,16.977,17.708,27.136,17.483,21.968,16.653,18.944,16.653,2688,8.059672612
18,14,10,17.755,16.919,17.244,17.335,17.292,16.816,16.654,19.019,18.138,18.138,16.654,2520,8.059188663
11,10,9,16.655,17.344,18.476,17.244,17.439,17.076,17.663,18.808,18.607,17.154,16.655,990,8.058704773
12,11,4,20.193,16.656,18.175,17.118,27.315,17.37,27.522,18.134,19.045,20.084,16.656,528,8.058220941
13,11,9,20.051,16.658,18.102,17.418,18.639,17.074,27.222,17.333,27.592,19.331,16.658,1287,8.057253452
9,10,4,19.546,19.062,16.659,17.572,17.407,18.82,18.392,19.29,17.32,20.584,16.659,360,8.056769794
7,10,8,17.135,16.66,17.839,21.049,27.309,19.059,19.047,18.692,18.452,17.656,16.66,560,8.056286194
14,12,8,19.406,27.707,16.661,18.972,18.266,17.757,18.657,19.665,16.913,17.475,16.661,1344,8.055802653
14,13,10,27.407,17.93,27.015,18.641,16.661,17.446,17.358,17.175,18.173,17.143,16.661,1820,8.055802653
15,10,16,19.618,18.889,17.763,19.02,19.035,19.791,19.313,16.662,17.711,17.303,16.662,2400,8.055319169
6,5,16,17.381,17.255,27.027,17.964,27.547,16.665,17.822,18.226,18.731,17.586,16.665,480,8.053869067
12,12,9,17.263,18.806,17.342,19.163,17.978,18.145,17.065,16.665,19.054,17.436,16.665,1296,8.053869067
19,7,16,21.806,19.884,18.468,17.653,17.218,17.714,16.666,21.258,18.974,18.543,16.666,2128,8.053385815
16,16,8,17.698,18.227,16.669,17.058,17.152,20.116,17.16,17.448,16.769,17.162,16.669,2048,8.051936409
7,6,8,18.863,19.165,27.561,19.26,16.67,17.399,16.928,27.175,27.161,27.308,16.67,336,8.051453389
16,6,10,16.85,21.011,16.67,17.966,17.642,18.498,16.87,17.957,18.104,18.181,16.67,960,8.051453389
17,10,8,18.314,17.027,17.411,17.474,18.172,17.028,16.671,17.437,17.742,17.216,16.671,1360,8.050970428
16,16,12,17.344,17.134,17.523,16.672,17.406,17.493,17.852,27.178,27.353,18.106,16.672,3072,8.050487524
20,6,12,27.231,27.65,27.353,17.787,17.698,18.912,18.215,17.426,16.888,16.674,16.674,1440,8.04952189
19,16,15,19.151,16.675,18.081,18.699,17.315,17.072,17.18,21.346,17.262,19.209,16.675,4560,8.04903916
20,14,13,16.675,18.567,19.67,17.997,17.57,17.85,17.434,17.972,18.684,19.489,16.675,3640,8.04903916
18,10,15,16.676,16.773,17.376,18.43,19.353,18.603,18.444,17.83,18.548,18.428,16.676,2700,8.048556488
15,11,16,17.968,18.774,16.677,17.884,17.365,18.386,16.806,18.016,17.019,18.512,16.677,2640,8.048073874
9,10,13,19.314,19.306,17.54,16.678,18.965,17.253,17.078,16.866,18.418,17.528,16.678,1170,8.047591318
20,12,16,19.212,16.678,17.273,17.932,17.265,17.331,17.626,17.991,17.088,17.935,16.678,3840,8.047591318
19,6,6,18.82,19.616,17.629,16.679,18.141,18.477,18.608,17.526,17.656,17.068,16.679,684,8.047108819
16,6,6,18.663,18.09,27.622,17.565,16.68,17.149,17.054,17.789,18.623,18.6,16.68,576,8.046626379
