Tm,Tr,Tc,test#1,test#2,test#3,test#4,test#5,test#6,test#7,test#8,test#9,test#10,MIN Kernel Time,GFLOPS
4,4,4,162.367,153.347,150.995,157.845,151.433,152.827,152.553,152.41,152.952,152.068,150.995,0.8888885592238152
4,4,5,194.854,178.16,180.272,186.406,177.835,178.215,178.967,179.873,180.011,180.049,177.835,0.7547317907048667
4,4,6,157.296,157.027,157.105,157.79,158.145,156.918,156.629,158.929,158.74,157.958,156.629,0.8569149263546343
4,4,7,179.603,180.828,181.624,186.378,179.2,180.916,179.082,179.864,179.914,180.441,179.082,0.7494763739515976
4,4,8,134.805,134.735,135.351,134.582,142.145,134.8,136.601,137.002,135.287,142.184,134.582,0.9972933081689973
4,4,9,149.229,148.463,149.361,150.814,148.404,148.665,148.179,148.317,148.089,150.577,148.089,0.9063315168581056
4,4,10,162.825,162.798,162.968,162.77,163.37,163.2,163.463,162.938,163.395,163.523,162.77,0.8245851692572341
4,4,11,183.871,178.249,184.891,177.833,185.365,185.002,177.851,178.306,177.738,181.193,177.738,0.7551436833991605
4,4,12,195.881,195.397,196.629,194.424,196.009,201.257,195.453,194.844,195.339,193.249,193.249,0.6945325874907503
4,4,13,216.912,207.446,207.389,208.039,207.812,207.727,207.804,214.649,207.646,214.001,207.389,0.647178625674457
4,4,14,223.568,223.131,223.087,230.307,222.529,224.414,222.206,222.785,222.594,233.339,222.206,0.6040238697424912
4,4,15,244.445,237.059,248.608,238.445,237.389,237.119,237.309,237.634,236.882,244.758,236.882,0.5666016328805059
4,4,16,135.804,134.436,133.986,141.748,134.785,134.052,144.392,147.335,134.183,133.733,133.733,1.0036245952756613
4,5,4,193.731,187.96,194.867,207.416,201.277,202.197,201.438,204.56,196.381,196.186,187.96,0.714076016173654
4,5,5,228.872,220.665,220.806,221.664,220.901,221.006,221.565,220.487,220.979,220.637,220.487,0.6087330681627489
4,5,6,193.739,194.103,193.45,194.188,193.753,193.206,193.925,193.411,194.019,193.232,193.206,0.6946871629245468
4,5,7,230.051,221.332,235.688,228.916,221.302,221.343,220.958,222.032,220.79,221.369,220.79,0.607897676525205
4,5,8,166.318,165.6,166.575,165.784,165.557,165.514,165.935,172.273,166.486,165.788,165.514,0.8109146537453025
4,5,9,191.165,184.734,184.412,184.893,184.837,184.643,184.307,200.088,186.705,187.361,184.307,0.7282291394249811
4,5,10,206.434,212.907,213.272,215.233,206.163,207.279,202.89,203.484,203.447,202.895,202.89,0.6615295381733944
4,5,11,221.463,221.698,221.986,221.688,221.986,228.486,221.551,221.404,221.462,221.602,221.404,0.606211848024426
4,5,12,248.888,241.008,240.601,239.776,240.36,239.964,239.854,240.268,239.963,240.239,239.776,0.5597629787801948
