Tm,Tr,Tc,test#1,test#2,test#3,test#4,test#5,test#6,test#7,test#8,test#9,test#10,MIN Kernel Time,Block Size,GFLOPS
92,14,16,240.187,264.292,280.177,295.155,250.311,258.791,237.928,267.376,240.805,236.342,236.342,20608,0.567896218
117,16,11,251.808,240.314,249.517,239.256,254.576,248.597,257.968,285.508,253.932,236.635,236.635,20592,0.567193053
98,15,7,260.84,236.789,255.778,257.264,266.558,241.426,262.344,242.615,248.601,245.041,236.789,10290,0.566824168
108,9,16,255.027,240.823,258.794,244.761,256.801,293.803,236.795,262.156,243.364,249.867,236.795,15552,0.566809806
101,16,16,241.228,256.471,237.826,254.395,237.813,288.994,236.872,302.213,266.328,250.784,236.872,25856,0.566625553
77,11,14,247.253,253.259,257.538,243.223,266.732,268.078,265.036,289.689,236.899,251.202,236.899,11858,0.566560973
123,6,11,293.529,236.939,280.578,293.805,274.838,313.719,263.912,325.299,265.622,360.477,236.939,8118,0.566465327
108,8,6,236.944,285.287,270.224,260.96,296.522,239.521,266.333,262.649,279.306,273.717,236.944,5184,0.566453373
103,6,11,239.873,251.891,236.953,264.775,287.917,238.858,252.985,248.409,250.184,241.955,236.953,6798,0.566431858
106,6,8,314.114,270.884,253.332,236.992,291.784,289.401,246.116,289.466,301.558,256.458,236.992,5088,0.566338644
94,15,10,257.765,253.633,269.419,236.994,260.401,239.003,253.077,243.918,258.951,288.153,236.994,14100,0.566333865
102,10,10,294.603,243.723,249.061,247.983,269.88,236.997,251.2,239.272,290.161,240.891,236.997,10200,0.566326696
119,6,5,278.577,257.028,249.07,252.238,264.394,250.836,241.87,250.872,237.037,267.127,237.037,3570,0.566231128
93,9,11,261.508,247.238,266.066,240.155,257.598,286.529,237.055,295.278,252.383,264.57,237.055,9207,0.566188134
79,15,9,254.291,265.583,253.357,237.069,294.954,281.45,264.841,319.282,281.049,292.312,237.069,10665,0.566154698
94,5,8,252.883,247.047,292.68,238.979,238.47,307.868,237.089,256.226,240.878,278.394,237.089,3760,0.566106939
92,15,7,237.101,268.143,249.318,259.081,244.064,270.096,241.559,248.982,246.089,263.078,237.101,9660,0.566078287
79,6,6,306.953,237.114,285.975,322.948,282.882,310.856,286.902,264.259,258.491,247.974,237.114,2844,0.566047252
123,10,9,247.942,288.914,292.426,270.222,290.088,267.551,253.619,301.308,289.43,237.121,237.121,11070,0.566030541
98,12,7,237.124,242.018,251.325,262.581,272.242,262.149,256.619,291.793,249.082,252.549,237.124,8232,0.56602338
98,10,11,255.418,243.041,267.896,249.848,298.597,241.102,305.894,237.134,254.055,241.581,237.134,10780,0.565999511
82,4,11,275.145,278.219,281.886,243.882,252.723,259.935,250.797,237.142,263.889,260.067,237.142,3608,0.565980417
95,15,8,312.537,294.353,237.146,287.805,240.555,256.891,319.025,284.881,306.475,254.94,237.146,11400,0.56597087
67,6,15,315.536,248.14,259.59,237.148,256.693,252.918,251.529,311.164,301.689,249.104,237.148,6030,0.565966097
73,7,5,245.086,255.142,243.342,237.15,258.008,248.809,350.996,277.169,251.111,241.237,237.15,2555,0.565961324
103,11,15,237.157,272.15,291.413,300.654,273.901,246.372,247.74,261.06,237.694,255.463,237.157,16995,0.565944619
81,14,12,237.169,272.729,242.79,257.338,241.516,259.062,242.906,300.999,289.627,277.6,237.169,13608,0.565915984
67,12,13,259.599,260.946,279.969,252.065,237.175,308.532,267.406,241.635,258.896,265.347,237.175,10452,0.565901668
88,6,16,237.175,253.546,264.652,248.701,248.504,266.039,240.449,250.807,241.985,250.776,237.175,8448,0.565901668
32,8,6,302.496,303.608,260.013,237.178,281.83,275.45,307.995,323.015,306.614,280.482,237.178,1536,0.56589451
99,16,7,242.203,256.313,238.224,242.707,253.919,250.952,251.141,237.831,258.507,237.184,237.184,11088,0.565880194
122,6,13,359.788,387.508,322.44,345.529,298.979,389.584,246.536,254.249,237.215,257.202,237.215,9516,0.565806243
72,5,10,291.723,237.217,306.195,262.725,255.236,258.116,243.013,254.359,259.451,252.803,237.217,3600,0.565801473
106,7,4,243.324,248.751,259.847,241.344,253.579,247.761,248.57,237.225,259.291,244.635,237.225,2968,0.565782392
113,14,13,381.849,253.273,244.323,278.981,249.303,252.753,237.243,257.468,240.583,258.212,237.243,20566,0.565739465
43,13,13,256.395,283.295,247.785,266.758,242.708,262.968,279.02,363.082,237.245,322.458,237.245,7267,0.565734696
75,15,14,241.465,313.027,273.158,243.201,237.267,249.819,268.708,265.63,253.597,266.7,237.267,15750,0.56568224
103,7,7,238.788,282.246,241.681,267.766,267.185,240.177,316.23,241.61,254.117,237.268,237.268,5047,0.565679856
103,14,16,321.112,282.75,319.233,301.002,314.309,255.221,297.557,261.114,237.305,260.84,237.305,23072,0.565591656
99,13,14,239.251,273.829,293.227,283.887,254.588,239.947,269.777,237.313,271.934,240.109,237.313,18018,0.56557259
120,12,9,244.82,253.257,260.603,268.781,254.011,269.823,241.589,252.684,237.319,256.296,237.319,12960,0.565558291
101,8,5,302.794,255.725,244.181,250.984,237.326,249.573,263.304,243.961,255.71,265.537,237.326,4040,0.565541609
113,16,8,260.583,255.388,249.175,255.466,237.336,265.026,260.125,282.313,256.673,246.017,237.336,14464,0.565517781
101,11,5,261.267,258.277,250.344,279.982,257.857,326.674,302.292,269.993,288.54,237.344,237.344,5555,0.565498719
106,4,12,275.626,242.723,244.544,240.697,254.71,263.991,261.874,238.568,259.758,237.353,237.353,5088,0.565477276
97,8,10,257.689,238.908,249.709,240.534,246.283,246.81,237.356,248.544,242.784,264.269,237.356,7760,0.565470129
102,14,7,307.611,276.531,238.795,261.552,271.432,251.648,256.183,237.367,241.492,298.159,237.367,9996,0.565443924
102,10,8,260.118,237.369,249.866,290.423,289.974,261.136,254.611,246.862,238.078,256.695,237.369,8160,0.56543916
69,6,13,328.46,277.136,294.794,287.22,253.545,282.994,252.932,237.38,241.775,256.568,237.38,5382,0.565412958
65,11,6,256.554,256.196,250.827,244.605,265.324,237.388,256.841,239.141,250.37,254.393,237.388,4290,0.565393904
97,7,6,245.619,258.396,274.342,244.119,254.962,317.059,293.752,255.859,260.461,237.395,237.395,4074,0.565377232
102,7,13,258.163,237.396,260.547,252.493,308.113,246.601,279.883,252.632,253.261,282.612,237.396,9282,0.56537485
128,11,11,270.722,237.421,247.065,240.217,261.134,249.431,254.889,262.463,299.573,256.087,237.421,15488,0.565315318
85,11,16,237.422,296.147,241.311,259.87,265.417,243.475,248.107,251.043,256.094,241.638,237.422,14960,0.565312936
86,12,8,265.966,271.414,264.737,244.372,277.16,255.217,237.437,324.084,245.212,254.027,237.437,8256,0.565277223
37,4,16,237.438,304.649,279.816,241.432,268.02,284.834,278.286,286.854,255.621,306.68,237.438,2368,0.565274842
67,4,12,264.113,237.447,249.879,241.701,247.356,241.968,249.367,246.765,308.245,256.793,237.447,3216,0.565253417
73,12,10,237.45,250.188,282.515,251.203,283.972,272.565,295.994,382.937,304.837,362.509,237.45,8760,0.565246275
102,5,7,257.642,246.293,271.039,265.613,290.067,309.615,255.567,237.455,257.133,242.944,237.455,3570,0.565234373
36,15,10,241.78,255.485,247.849,321.966,257.875,237.471,250.058,245.722,304.7,285.792,237.471,5400,0.565196289
101,5,14,263.951,249.155,338.41,251.725,237.476,244.689,322.522,245.085,252.145,246.847,237.476,7070,0.565184389
113,11,13,251.802,237.505,257.115,259.259,261.142,253.472,246.13,255.395,247.108,252.5,237.505,16159,0.565115379
86,5,7,257.856,300.521,239.025,264.187,237.511,299.354,259.489,247.128,256.647,251.653,237.511,3010,0.565101103
105,6,16,245.948,266.035,237.516,320.043,254.046,252.568,243.413,262.763,260.967,246.144,237.516,10080,0.565089207
64,6,9,252.135,246.985,250.153,239.465,257.07,295.28,250.818,240.563,270.642,237.524,237.524,3456,0.565070174
100,4,12,311.004,266.116,237.524,261.09,246.671,273.571,259.142,320.823,255.473,315.784,237.524,4800,0.565070174
102,15,8,247.916,242.895,261.402,290.637,261.346,256.338,265.979,301.905,237.532,255.838,237.532,12240,0.565051143
94,7,5,251.872,242.82,261.339,239.112,271.749,251.03,255.445,263.473,237.552,260.854,237.552,3290,0.56500357
36,5,4,333.121,353.34,327.328,261.846,271.272,331.856,301.639,237.553,291.755,242.641,237.553,720,0.565001191
74,6,16,289.327,254.368,237.553,258.823,239.43,245.978,252.541,273.683,242.19,242.178,237.553,7104,0.565001191
36,6,13,285.294,261.112,242.378,267.562,244.379,262.157,255.781,269.265,237.584,262.396,237.584,2808,0.56492747
123,11,12,248.004,245.404,237.598,253.331,253.934,249.621,241.41,254.624,278.697,246.504,237.598,16236,0.564894183
105,10,15,302.776,259.06,245.357,249.165,249.4,269.882,284.078,256.91,237.599,269.528,237.599,15750,0.564891805
97,4,14,259.114,237.606,262.191,246.027,255.04,250.103,260.472,278.83,282.192,301.337,237.606,5432,0.564875163
77,5,12,262.241,263.659,269.846,268.461,252.623,334.885,245.438,247.231,237.623,259.095,237.623,4620,0.564834751
95,14,13,249.468,243.832,256.321,245.143,264.731,245.94,267.93,252.898,296.83,237.623,237.623,17290,0.564834751
94,6,15,250.831,237.626,269.587,240.337,246.488,289.833,241.586,257.958,249.172,256.29,237.626,8460,0.56482762
102,13,5,239.675,267.247,248.552,263.186,248.143,289.433,254.424,262.733,237.626,256.745,237.626,6630,0.56482762
71,9,8,262.561,243.54,249.723,237.629,310.507,352.829,388.902,257.779,263.433,264.784,237.629,5112,0.564820489
99,16,12,262.895,254.898,248.02,253.225,264.726,358.9,254.818,298.361,237.635,260.298,237.635,19008,0.564806228
103,5,16,296.862,260.947,237.636,281.103,244.762,250.689,292.989,284.124,346.074,247.989,237.636,8240,0.564803851
97,10,10,253.208,237.637,247.814,257.714,287.64,252.391,244.538,263.631,247.642,248.355,237.637,9700,0.564801475
