Tm,Tr,Tc,test#1,test#2,test#3,test#4,test#5,test#6,test#7,test#8,test#9,test#10,MIN Kernel Time,GFLOPS
4,4,4,319.973,266.998,267.886,266.523,266.651,266.476,266.943,266.952,266.624,332.242,266.476,0.5036766087752743
4,4,5,315.383,277.268,266.834,270.209,267.754,271.44,272.29,269.833,270.994,268.48,266.834,0.5030008469685272
4,4,6,270.927,331.599,347.46,324.734,330.476,324.8,322.033,325.067,269.833,324.268,269.833,0.4974103538114314
4,4,7,266.27,273.292,266.222,266.698,269.615,265.988,266.89,323.261,324.022,267.533,265.988,0.504600688752876
4,4,8,317.761,266.716,266.403,266.262,267.357,266.869,268.774,266.894,266.183,266.404,266.183,0.5042310290289012
4,4,9,266.768,265.852,268.479,266.424,266.124,267.0,266.652,266.358,265.755,266.52,265.755,0.5050430960847397
4,4,10,266.52,282.893,275.575,270.392,266.784,267.862,265.865,265.822,266.232,266.469,265.822,0.5049158007990309
4,4,11,265.984,266.449,268.541,265.659,270.821,265.794,266.854,266.331,265.373,265.427,265.373,0.5057700971839638
4,4,12,267.85,268.598,268.644,267.119,265.618,266.243,267.042,265.777,265.63,266.134,265.618,0.5053035863533344
4,4,13,265.78,265.921,267.025,265.562,265.776,266.425,265.676,265.309,266.396,265.913,265.309,0.5058921031702656
4,4,14,265.527,266.481,266.026,266.328,266.818,266.553,268.482,266.177,266.994,266.503,265.527,0.5054767613086428
4,4,15,266.419,266.657,265.711,266.394,265.517,265.868,266.787,266.124,267.921,267.013,265.517,0.5054957987624145
4,4,16,266.698,265.649,266.2,265.245,266.672,266.811,266.222,267.618,267.783,265.766,265.245,0.5060141680333277
4,5,4,266.91,325.329,267.027,266.749,266.41,266.327,267.004,266.208,266.16,266.184,266.16,0.5042746017433123
4,5,5,315.774,265.756,266.833,266.494,265.932,265.768,266.856,266.163,265.932,267.315,265.756,0.5050411956832583
4,5,6,315.129,265.868,265.946,271.215,265.731,266.426,267.159,268.303,266.561,266.983,265.731,0.505088710011252
4,5,7,314.657,265.796,266.072,267.251,268.72,274.416,266.706,266.651,266.116,266.183,265.796,0.504965191349757
4,5,8,266.974,266.084,267.195,267.281,265.483,267.17,267.188,266.313,266.285,267.318,265.483,0.5055605368328668
4,5,9,269.277,269.514,267.076,265.576,267.871,266.161,266.37,266.119,268.151,266.106,265.576,0.5053834985089014
4,5,10,266.651,324.751,267.673,331.56,327.933,265.824,267.13,267.12,267.531,267.165,265.824,0.5049120019260864
4,5,11,267.659,269.581,271.396,267.556,274.55,267.716,276.696,265.832,268.888,273.611,265.832,0.5048968070059285
4,5,12,266.621,276.563,265.936,267.329,270.843,270.452,267.799,267.953,270.368,272.111,265.936,0.5046993562360869
4,5,13,271.317,271.394,267.798,277.533,266.971,272.679,268.026,270.623,279.823,266.968,266.968,0.5027483743369991
4,5,14,270.449,268.959,275.223,272.308,271.145,268.189,268.203,268.117,266.979,269.196,266.979,0.5027276602279581
4,5,15,270.106,269.944,266.692,274.733,268.115,272.011,271.45,272.308,323.701,265.914,265.914,0.5047411117880217
4,5,16,265.422,270.513,266.328,271.778,265.965,266.511,265.941,266.501,265.572,324.05,265.422,0.505676726119161
4,6,4,310.603,266.3,265.775,266.093,267.105,265.996,267.061,268.415,270.674,266.523,265.775,0.5050050907722697
4,6,5,266.181,266.637,266.536,266.329,267.0,267.51,265.911,265.842,265.763,265.847,265.763,0.5050278932733301
4,6,6,265.787,266.103,323.162,266.585,266.457,267.243,266.52,268.886,266.431,323.759,265.787,0.5049822903302268
4,6,7,323.635,268.053,268.431,266.046,266.666,266.874,268.779,270.26,268.599,269.159,266.046,0.5044906820625005
4,6,8,266.298,268.864,323.597,266.612,266.246,266.093,268.14,266.961,266.193,266.557,266.093,0.5044015738858219
4,6,9,265.488,267.023,267.53,267.575,267.875,267.203,267.385,266.188,266.871,267.48,265.488,0.505551015488459
4,6,10,266.202,327.255,325.374,266.481,267.014,269.544,268.041,286.194,266.957,270.617,266.202,0.5041950398569508
4,6,11,274.69,267.513,267.458,278.84,268.426,326.153,322.808,266.724,266.214,265.542,265.542,0.5054482078164659
4,6,12,267.982,266.353,266.392,269.237,265.909,265.905,265.776,266.804,267.433,265.56,265.56,0.5054139478837174
4,6,13,266.35,268.816,266.056,266.343,267.344,266.162,267.711,266.677,321.061,323.666,266.056,0.5044717202393482
4,6,14,265.902,323.952,322.738,265.903,266.745,265.985,267.046,266.096,265.301,266.583,265.301,0.5059073580574517
4,6,15,279.029,269.205,266.563,267.03,266.989,267.112,267.033,266.306,270.227,267.12,266.306,0.503998137480943
4,6,16,266.106,323.374,269.088,269.554,268.118,323.992,324.662,267.37,329.77,265.634,265.634,0.5052731502744376
4,7,4,268.243,266.613,266.344,266.294,266.434,265.582,324.612,324.317,265.935,271.722,265.582,0.5053720809392203
4,7,5,323.037,333.143,326.702,268.602,267.638,270.44,324.947,324.236,266.462,266.528,266.462,0.5037030721078428
4,7,6,266.8,266.459,266.997,364.955,321.894,266.28,266.523,266.897,267.038,266.966,266.28,0.5040473486555506
4,7,7,267.176,268.025,266.867,270.569,270.389,269.94,266.51,268.784,266.489,270.05,266.489,0.503652038170431
4,7,8,266.619,266.509,266.639,268.464,266.424,268.313,266.481,275.16,323.746,268.599,266.424,0.5037749151728073
4,7,9,315.083,267.327,311.888,323.13,266.123,266.838,265.953,266.373,266.653,265.942,265.942,0.5046879695572718
4,7,10,320.863,323.82,266.632,266.564,265.794,266.992,265.94,267.322,266.798,266.364,265.794,0.5049689910231232
4,7,11,265.972,266.314,266.428,302.135,266.402,265.893,265.677,267.169,266.001,265.959,265.677,0.5051913714773955
4,7,12,265.705,266.161,270.602,325.071,266.885,265.579,266.607,265.503,265.704,267.672,265.503,0.5055224536069273
4,7,13,265.183,265.87,266.638,265.973,266.134,266.383,266.138,265.72,271.205,284.842,265.183,0.5061324745553071
4,7,14,265.84,271.597,319.398,324.102,266.596,265.716,265.759,266.917,266.13,266.078,265.716,0.5051172228996371
4,7,15,265.982,265.841,267.087,266.979,266.24,266.6,266.546,277.836,265.519,323.154,265.519,0.5054919911569417
4,7,16,302.764,265.594,272.503,267.368,265.658,266.97,266.419,266.216,267.266,266.045,265.594,0.5053492473474551
4,8,4,323.027,266.024,266.905,266.678,276.898,266.223,266.57,266.137,266.104,265.738,265.738,0.5050754050982548
4,8,5,267.7,266.888,266.421,266.355,267.057,266.055,270.843,265.989,266.193,270.221,265.989,0.5045987916793552
4,8,6,266.134,267.842,267.973,271.498,265.75,265.703,265.987,266.174,266.941,265.423,265.423,0.5056748209461878
4,8,7,266.283,265.701,265.814,265.947,267.038,265.612,266.194,266.71,266.225,265.348,265.348,0.5058177487676561
4,8,8,266.566,265.685,265.52,267.001,265.873,266.073,267.128,265.7,267.169,266.533,265.52,0.5054900873757157
4,8,9,266.051,270.147,266.844,266.226,266.108,265.48,265.84,271.856,266.649,265.595,265.48,0.5055662498116619
4,8,10,265.682,265.878,266.145,265.925,268.384,265.74,265.833,266.156,265.718,266.423,265.682,0.5051818640329416
4,8,11,266.894,265.991,265.789,265.926,265.731,265.727,266.611,265.811,265.949,265.966,265.727,0.5050963131334039
4,8,12,265.719,271.951,267.04,266.039,265.586,265.671,266.628,266.73,267.72,265.957,265.586,0.5053644695127003
4,8,13,305.948,324.475,266.271,313.492,266.775,266.855,319.762,323.892,267.291,267.532,266.271,0.504064385532033
4,8,14,316.849,267.488,266.153,265.665,267.632,266.993,265.634,265.427,266.388,265.702,265.427,0.5056672003978494
4,8,15,266.897,266.827,265.515,266.741,272.069,266.128,265.904,266.565,266.822,267.156,265.515,0.505499606425249
4,8,16,266.18,266.178,265.736,271.381,266.464,266.115,267.005,266.192,266.464,266.722,265.736,0.5050792064304422
4,9,4,267.25,266.089,269.159,324.89,268.152,266.275,267.798,266.581,266.248,267.921,266.089,0.5044091563349105
4,9,5,320.918,266.881,266.251,267.157,265.927,266.046,265.895,266.567,266.646,265.781,265.781,0.5049936902938885
4,9,6,265.638,266.604,265.88,267.387,266.111,266.29,266.762,266.257,265.881,268.831,265.638,0.5052655418276
4,9,7,265.951,267.217,265.749,265.887,265.781,267.039,265.776,265.762,266.85,268.76,265.749,0.5050544987939748
4,9,8,266.312,267.146,267.818,266.28,265.922,271.106,268.613,273.133,331.335,334.518,265.922,0.5047259271515707
4,9,9,305.208,267.397,265.984,266.873,268.012,265.746,268.383,266.789,266.285,324.611,265.746,0.5050602003416796
4,9,10,316.013,267.55,266.712,266.899,266.473,268.72,266.5,266.867,266.875,266.681,266.473,0.5036822792553092
4,9,11,292.325,267.698,267.978,267.422,265.695,266.951,267.802,265.724,266.9,266.668,265.695,0.5051571463520201
4,9,12,265.703,267.551,267.456,266.41,323.312,324.182,320.071,266.748,267.192,266.164,265.703,0.5051419366736545
4,9,13,265.632,279.97,266.137,266.273,266.941,266.378,324.59,323.724,266.486,265.999,265.632,0.5052769545837851
4,9,14,266.253,266.116,266.441,270.348,265.406,266.891,266.704,265.591,267.698,265.986,265.406,0.5057072108392424
4,9,15,266.174,265.774,266.511,266.935,266.416,267.58,267.78,265.901,280.506,266.223,265.774,0.5050069909020446
4,9,16,265.722,266.036,266.001,266.739,266.134,270.643,266.733,266.602,266.903,329.744,265.722,0.5051058173579908
4,10,4,318.512,266.994,266.21,270.716,266.767,272.859,266.753,266.295,266.101,267.014,266.101,0.5043864096715157
4,10,5,266.749,266.369,318.836,323.99,268.738,265.876,266.901,269.558,268.19,267.032,265.876,0.504813251290075
4,10,6,267.357,265.85,267.487,266.429,266.129,267.921,267.469,269.169,272.239,271.765,265.85,0.5048626217791987
4,10,7,267.355,270.125,267.975,267.4,267.623,323.206,323.299,269.587,275.155,268.972,267.355,0.5020206392250004
4,10,8,268.634,269.861,267.039,266.094,265.795,266.309,267.846,268.14,266.424,270.779,265.795,0.5049670911792923
4,10,9,267.817,271.267,267.166,269.948,267.824,323.99,267.025,266.799,266.154,266.92,266.154,0.5042859697768961
4,10,10,315.178,268.193,269.01,270.04,323.158,324.935,265.724,265.935,265.78,324.207,265.724,0.5051020156252352
4,10,11,313.306,268.427,268.162,266.64,267.97,268.722,324.335,323.82,325.46,265.905,265.905,0.5047581955961716
4,10,12,316.129,267.5,320.414,267.728,267.365,269.016,265.723,268.216,268.625,323.647,265.723,0.5051039164844594
4,10,13,312.698,270.488,267.13,269.009,266.934,266.131,267.359,267.502,266.43,266.707,266.131,0.5043295519875551
4,10,14,300.219,267.026,266.867,267.516,265.935,268.524,267.279,275.698,266.859,266.741,265.935,0.5047012540658432
4,10,15,323.322,323.428,266.714,317.943,267.286,266.353,266.564,267.236,267.603,266.351,266.351,0.5039129869983593
4,10,16,269.843,266.067,266.228,277.294,270.275,267.146,266.787,266.127,268.791,267.664,266.067,0.5044508638801505
4,11,4,266.634,268.331,267.184,266.791,266.792,266.564,266.278,267.025,266.92,267.956,266.278,0.5040511345285753
4,11,5,270.366,267.945,266.65,267.608,267.199,266.803,267.035,269.874,268.119,267.67,266.65,0.5033479392462029
4,11,6,266.977,266.812,266.99,267.445,267.254,266.682,323.127,318.572,268.117,267.268,266.682,0.5032875409663944
4,11,7,266.314,267.274,266.755,269.022,278.281,266.935,268.667,266.997,267.044,323.475,266.314,0.5039829975142125
4,11,8,317.404,267.664,270.328,267.415,267.16,266.196,266.603,266.763,266.357,268.796,266.196,0.5042064043035958
4,11,9,266.1,267.015,268.811,267.908,267.981,268.523,267.636,267.123,266.565,321.907,266.1,0.5043883051484405
4,11,10,321.031,313.194,266.435,266.333,266.92,266.706,266.0,267.35,266.321,265.994,265.994,0.5045893065257111
4,11,11,316.027,266.845,266.439,268.269,268.043,267.986,272.246,266.126,266.632,266.874,266.126,0.504339027378009
4,11,12,266.705,266.695,267.016,266.307,266.255,267.387,266.304,271.335,267.11,272.412,266.255,0.5040946761563163
4,11,13,266.889,267.562,266.167,267.533,268.093,266.532,270.169,267.858,271.985,266.775,266.167,0.5042613396852352
4,11,14,270.19,269.069,268.069,269.804,324.946,266.613,266.862,267.088,266.915,266.942,266.613,0.5034177928308072
4,11,15,323.029,277.978,311.612,267.489,268.343,266.635,269.973,266.776,267.156,266.569,266.569,0.503500887199937
4,11,16,323.167,269.21,319.167,268.719,266.59,269.515,266.578,266.596,266.414,266.5,266.414,0.5037938246488548
4,12,4,317.277,269.365,266.627,266.885,266.254,266.732,266.663,266.522,266.396,266.861,266.254,0.5040965694412102
4,12,5,266.781,267.62,267.621,324.368,266.562,326.407,323.61,267.194,267.187,266.799,266.562,0.5035141092878954
4,12,6,266.893,265.827,269.944,331.862,314.443,268.829,267.893,267.126,267.944,322.353,265.827,0.5049063037238505
4,12,7,324.401,266.848,267.049,268.634,312.941,266.481,267.673,266.66,272.169,270.103,266.481,0.5036671582589378
