Tm,Tr,Tc,Tr*Tc,Block_Size,GFLOPS
26,16,8,128,3328,45.10004301
16,16,16,256,4096,45.00929846
18,16,8,128,2304,44.91891834
23,16,16,256,5888,44.88887224
19,16,16,256,4864,44.81393255
23,16,9,144,3312,44.81393255
16,16,10,160,2560,44.64994278
20,16,16,256,5120,44.57579807
23,16,11,176,4048,44.51665937
23,13,16,208,4784,44.42824495
19,16,11,176,3344,44.41354335
19,10,16,160,3040,44.39885147
23,16,8,128,2944,44.36949686
23,12,16,192,4416,44.31090393
26,16,9,144,3744,44.31090393
23,14,16,224,5152,44.28166546
23,16,10,160,3680,44.25246555
24,16,16,256,6144,44.12154109
24,16,9,144,3456,44.09255191
27,16,10,160,4320,44.09255191
17,16,16,256,4352,44.06360079
27,16,9,144,3888,44.00581246
22,16,16,256,5632,43.9769751
23,15,16,240,5520,43.94817551
24,16,11,176,4224,43.94817551
27,11,16,176,4752,43.94817551
24,8,16,128,3072,43.89068934
20,16,13,208,4160,43.87634129
21,16,16,256,5376,43.86200261
24,16,13,208,4992,43.79044959
27,16,6,96,2592,43.79044959
20,16,10,160,3200,43.77616699
28,9,16,144,4032,43.77616699
23,16,7,112,2576,43.73337504
22,8,16,128,2816,43.69066667
18,16,16,256,4608,43.67644907
14,16,16,256,3584,43.64804163
27,16,16,256,6912,43.54890591
24,8,10,80,1920,43.49245885
26,16,11,176,4576,43.49245885
26,16,16,256,6656,43.45021949
17,16,9,144,2448,43.43615793
20,16,9,144,2880,43.3940278
17,12,16,192,3264,43.38000259
24,15,16,240,5760,43.38000259
24,16,10,160,3840,43.33798127
28,11,16,176,4928,43.33798127
20,14,16,224,4480,43.32399225
22,10,16,160,3520,43.31001226
24,16,7,112,2688,43.31001226
22,16,15,240,5280,43.29604129
13,16,9,144,1872,43.28207933
16,16,6,96,1536,43.22632142
22,11,16,176,3872,43.22632142
23,16,6,96,2208,43.22632142
13,16,11,176,2288,43.21240438
20,15,16,240,4800,43.18459717
26,16,7,112,2912,43.15682572
22,16,9,144,3168,43.14295339
25,11,16,176,4400,43.14295339
27,16,12,192,5184,43.14295339
17,15,16,240,4080,43.12908997
26,16,6,96,2496,43.12908997
17,16,11,176,2992,43.11523546
17,16,8,128,2176,43.10138985
27,16,7,112,3024,43.10138985
21,11,16,176,3696,43.08755313
23,16,5,80,1840,43.08755313
25,16,9,144,3600,43.08755313
26,16,13,208,5408,43.08755313
28,16,13,208,5824,43.01850256
21,10,16,160,3360,43.004719
35,16,11,176,6160,43.004719
25,10,16,160,4000,42.99094427
27,10,9,90,2430,42.94967296
27,13,16,208,5616,42.93593346
29,16,12,192,5568,42.88106326
35,16,9,144,5040,42.88106326
28,16,16,256,7168,42.85368072
19,8,16,128,2432,42.81267241
25,16,16,256,6400,42.81267241
29,9,16,144,4176,42.79902041
29,10,16,160,4640,42.79902041
14,8,16,128,1792,42.77174251
20,16,7,112,2240,42.7581166
34,16,9,144,4896,42.7581166
19,16,15,240,4560,42.70369965
14,16,11,176,2464,42.69011705
27,11,11,121,3267,42.69011705
35,10,16,160,5600,42.66297775
23,9,9,81,1863,42.63587294
29,8,16,128,3712,42.63587294
10,16,9,144,1440,42.60880254
21,16,13,208,4368,42.5817665
35,15,16,240,8400,42.55476474
19,16,5,80,1520,42.5412767
27,12,9,108,2916,42.5412767
22,16,6,96,2112,42.51432626
19,13,16,208,3952,42.40686509
27,16,14,224,6048,42.39347063
19,9,16,144,2736,42.38008462
22,16,4,64,1408,42.38008462
23,16,4,64,1472,42.32662504
34,13,16,208,7072,42.32662504
21,16,14,224,4704,42.29994579
29,13,16,208,6032,42.29994579
18,16,4,64,1152,42.27330016
19,16,14,224,4256,42.25998992
23,13,11,143,3289,42.25998992
34,10,16,160,5440,42.25998992
17,16,7,112,1904,42.24668807
26,15,16,240,6240,42.22010947
23,10,11,110,2530,42.18030421
29,16,7,112,3248,42.15380905
31,8,16,128,3968,42.14057394
26,14,10,140,3640,42.11412865
15,13,16,208,3120,42.08771653
29,11,16,176,5104,42.08771653
34,16,12,192,6528,42.08771653
15,16,9,144,2160,42.06133751
19,10,10,100,1900,42.03499154
36,11,16,176,6336,42.03499154
16,16,8,128,2048,42.02183093
29,16,4,64,1856,42.00867856
31,11,16,176,5456,42.00867856
19,12,16,192,3648,41.99553442
26,10,9,90,2340,41.9823985
22,16,5,80,1760,41.96927079
29,6,16,96,2784,41.9561513
35,7,16,112,3920,41.92993689
26,11,11,121,3146,41.91684197
28,16,14,224,6272,41.91684197
28,9,13,117,3276,41.89067665
35,16,16,256,8960,41.89067665
34,16,11,176,5984,41.85148987
15,16,10,160,2400,41.83844389
27,8,9,72,1944,41.83844389
27,14,9,126,3402,41.83844389
35,13,16,208,7280,41.81237632
26,14,14,196,5096,41.76033852
29,10,10,100,2900,41.76033852
34,10,9,90,3060,41.76033852
26,12,9,108,2808,41.7473493
26,14,11,154,4004,41.7473493
22,9,9,81,1782,41.73436816
35,14,16,224,7840,41.73436816
15,16,11,176,2640,41.72139509
26,13,14,182,4732,41.65665053
28,9,9,81,2268,41.65665053
26,13,12,156,4056,41.64372572
37,8,16,128,4736,41.64372572
34,16,7,112,3808,41.63080893
38,11,16,176,6688,41.61790016
36,14,16,224,8064,41.60499938
17,8,8,64,1088,41.5921066
19,16,6,96,1824,41.5921066
25,8,9,72,1800,41.57922181
35,16,12,192,6720,41.57922181
26,8,8,64,1664,41.566345
27,6,9,54,1458,41.55347616
27,11,10,110,2970,41.55347616
65,16,16,256,16640,41.54061529
27,16,15,240,6480,41.52776238
25,16,13,208,5200,41.51491741
35,8,10,80,2800,41.48925131
27,14,10,140,3780,41.4380142
28,7,16,112,3136,41.42522469
32,16,16,256,8192,41.42522469
31,16,10,160,4960,41.41244307
34,16,14,224,7616,41.41244307
38,10,16,160,6080,41.41244307
29,16,14,224,6496,41.39966934
25,13,8,104,2600,41.38690348
17,11,8,88,1496,41.3741455
26,13,13,169,4394,41.3741455
29,16,16,256,7424,41.36139538
29,9,9,81,2349,41.34865311
36,16,13,208,7488,41.33591869
27,15,8,120,3240,41.31047338
31,16,14,224,6944,41.31047338
35,8,11,88,3080,41.31047338
27,8,11,88,2376,41.29776246
25,11,8,88,2200,41.28505937
27,10,15,150,4050,41.28505937
18,16,6,96,1728,41.27236408
27,13,13,169,4563,41.27236408
28,11,14,154,4312,41.27236408
34,13,9,117,3978,41.25967661
36,16,15,240,8640,41.25967661
22,10,11,110,2420,41.23432504
27,13,9,117,3159,41.23432504
27,14,11,154,4158,41.23432504
27,14,13,182,4914,41.23432504
25,13,9,117,2925,41.22166093
27,14,12,168,4536,41.20900461
25,10,9,90,2250,41.19635605
60,16,16,256,15360,41.19635605
33,11,16,176,5808,41.18371525
23,8,6,48,1104,41.17108221
25,12,11,132,3300,41.17108221
35,10,11,110,3850,41.17108221
26,16,5,80,2080,41.15845692
38,16,16,256,9728,41.15845692
25,15,8,120,3000,41.14583936
31,16,16,256,7936,41.14583936
17,10,16,160,2720,41.12062745
27,13,12,156,4212,41.12062745
31,9,16,144,4464,41.12062745
34,12,9,108,3672,41.12062745
19,16,7,112,2128,41.10803308
33,16,13,208,6864,41.10803308
34,9,9,81,2754,41.09544642
