Tm,Tr,Tc,Kernel Time,GFLOPS
9,8,8,17.461,7.68671485
9,6,8,17.464,7.685394411
10,7,7,17.499,7.670022744
9,8,6,17.51,7.66520434
6,6,8,17.528,7.657332725
6,8,8,17.533,7.655149033
6,7,8,17.554,7.645991113
9,4,8,17.574,7.637289632
6,8,6,17.585,7.632512255
9,8,4,17.623,7.616054474
6,5,8,17.633,7.611735269
6,8,7,17.633,7.611735269
10,6,8,17.642,7.607852171
8,6,6,17.651,7.603973033
6,4,8,17.653,7.603111539
10,8,6,17.658,7.600958659
6,8,5,17.669,7.596226612
6,6,4,17.724,7.57265448
6,4,6,17.725,7.57222725
6,8,4,17.756,7.559006984
7,6,8,17.772,7.552201666
9,4,4,17.776,7.55050225
11,5,8,17.799,7.540745435
7,8,6,17.819,7.532281722
7,7,7,17.827,7.528901554
8,6,8,17.905,7.496103211
7,7,8,17.929,7.486068827
8,8,8,17.943,7.480227833
6,4,4,17.956,7.474812208
8,7,6,17.993,7.459441338
7,6,7,17.995,7.458612281
8,8,6,17.998,7.457369041
9,7,7,18.031,7.443720703
8,4,6,18.049,7.436297191
8,6,7,18.049,7.436297191
11,6,8,18.068,7.428477308
7,8,7,18.104,7.4137057
7,7,6,18.115,7.409203864
8,6,4,18.121,7.406750621
11,7,8,18.133,7.401849005
9,7,8,18.178,7.38352558
4,6,8,18.198,7.375410924
10,8,8,18.209,7.370955462
9,8,7,18.228,7.363272328
4,8,6,18.238,7.359235004
64,8,8,18.242,7.357621313
10,7,6,18.253,7.353187312
10,7,8,18.26,7.350368456
61,8,8,18.26,7.350368456
11,8,8,18.283,7.341121698
59,8,8,18.283,7.341121698
63,8,8,18.285,7.340318731
10,6,7,18.288,7.339114611
60,8,8,18.288,7.339114611
11,8,5,18.293,7.337108621
10,6,6,18.321,7.325895311
10,8,7,18.321,7.325895311
4,6,6,18.325,7.324296207
62,8,8,18.334,7.320700775
47,8,8,18.347,7.315513599
10,4,6,18.354,7.312723548
10,6,4,18.361,7.309935624
10,4,8,18.366,7.307945552
5,6,8,18.38,7.302379108
64,7,8,18.392,7.297614615
5,7,8,18.394,7.296821137
5,8,8,18.404,7.292856336
40,8,8,18.406,7.292063892
10,4,7,18.409,7.29087555
58,8,8,18.417,7.28770853
5,8,6,18.42,7.286521607
46,8,8,18.42,7.286521607
43,8,8,18.431,7.282172861
10,8,4,18.437,7.279803005
44,8,8,18.443,7.277434691
8,5,6,18.446,7.276251111
41,8,8,18.452,7.273885107
5,8,7,18.459,7.271126713
64,8,6,18.46,7.270732828
6,7,7,18.464,7.269157712
39,8,8,18.482,7.26207813
61,7,8,18.482,7.26207813
8,6,5,18.484,7.261292361
10,7,4,18.484,7.261292361
45,8,8,18.493,7.257758503
59,6,8,18.493,7.257758503
42,8,8,18.494,7.257366065
64,6,8,18.506,7.25266011
60,6,8,18.507,7.252268223
59,8,6,18.51,7.251092815
8,7,7,18.514,7.249526196
64,4,8,18.52,7.247177538
11,8,6,18.521,7.246786243
12,4,8,18.523,7.246003779
59,4,8,18.529,7.243657402
61,4,8,18.531,7.242875614
61,6,8,18.536,7.240921882
59,7,8,18.54,7.239359655
62,6,8,18.543,7.238188427
63,6,8,18.548,7.236237222
11,8,7,18.55,7.235457035
60,7,8,18.551,7.235067004
7,5,7,18.552,7.234677016
48,8,8,18.561,7.23116901
61,8,6,18.563,7.230389915
63,7,8,18.563,7.230389915
58,4,8,18.571,7.227275214
62,7,8,18.572,7.226886065
62,4,8,18.577,7.224940948
60,8,6,18.579,7.224163195
57,8,8,18.589,7.220276938
9,6,6,18.601,7.215618945
63,4,8,18.601,7.215618945
58,7,8,18.604,7.214455386
62,8,6,18.611,7.211741873
58,6,8,18.613,7.210966959
63,8,6,18.615,7.210192211
60,4,8,18.628,7.205160404
64,5,8,18.629,7.204773633
12,6,8,18.631,7.204000215
64,8,7,18.636,7.202067396
61,8,7,18.639,7.200908203
6,6,6,18.651,7.19627516
11,7,7,18.657,7.193960873
5,4,7,18.674,7.187411803
59,8,7,18.677,7.186257322
50,8,8,18.694,7.179722264
58,8,6,18.694,7.179722264
8,7,8,18.699,7.177802449
60,8,7,18.703,7.176267337
63,8,7,18.714,7.172049161
5,7,4,18.721,7.169367448
7,5,8,18.724,7.168218757
7,8,8,18.726,7.167453167
45,7,8,18.726,7.167453167
62,8,7,18.733,7.164774889
7,7,5,18.735,7.164010035
63,5,8,18.737,7.163245343
57,4,8,18.741,7.161716451
44,7,8,18.755,7.156370461
8,5,8,18.763,7.153319192
48,7,8,18.764,7.152937966
56,4,8,18.764,7.152937966
47,7,8,18.769,7.151032447
58,8,7,18.771,7.150270524
45,6,8,18.772,7.149889623
41,7,8,18.774,7.149127943
46,7,8,18.777,7.147985727
8,8,7,18.778,7.14760507
57,6,8,18.779,7.147224453
43,7,8,18.781,7.146463341
51,7,8,18.783,7.14570239
62,5,8,18.787,7.144180976
59,5,8,18.79,7.143040341
40,7,8,18.791,7.14266021
64,4,7,18.792,7.142280119
58,5,8,18.793,7.141900069
60,6,6,18.799,7.139620618
64,7,6,18.804,7.137722187
51,8,8,18.805,7.137342622
7,4,8,18.81,7.135445401
61,5,8,18.813,7.134307553
64,6,6,18.813,7.134307553
48,6,8,18.815,7.133549189
64,7,7,18.815,7.133549189
49,8,8,18.816,7.133170068
52,8,8,18.816,7.133170068
63,8,4,18.818,7.132411946
55,8,8,18.819,7.132032945
56,8,8,18.819,7.132032945
60,5,8,18.821,7.131275065
60,7,6,18.824,7.130138547
39,7,8,18.827,7.12900239
53,4,8,18.829,7.128245154
11,6,7,18.831,7.127488078
40,6,8,18.835,7.125974409
7,8,4,18.836,7.125596093
42,7,8,18.837,7.125217816
7,8,5,18.838,7.12483958
43,6,8,18.838,7.12483958
38,8,8,18.84,7.124083227
47,6,8,18.842,7.123327035
57,7,8,18.842,7.123327035
39,6,8,18.849,7.120681628
53,8,8,18.85,7.120303873
49,4,8,18.854,7.118793253
48,4,8,18.855,7.118415699
42,6,8,18.856,7.118038184
12,5,8,18.857,7.11766071
61,7,7,18.857,7.11766071
8,8,5,18.863,7.115396703
54,4,8,18.863,7.115396703
44,6,8,18.864,7.115019508
46,6,8,18.866,7.114265239
59,6,6,18.87,7.112757181
43,4,8,18.871,7.112380266
52,4,8,18.873,7.111626556
55,4,8,18.873,7.111626556
50,7,8,18.88,7.108989831
64,8,4,18.884,7.107484008
64,4,6,18.889,7.105602626
9,5,8,18.89,7.105226469
41,6,8,18.892,7.104474275
50,6,8,18.893,7.104098237
62,6,6,18.893,7.104098237
46,4,8,18.895,7.103346282
49,7,8,18.895,7.103346282
51,4,8,18.898,7.102218647
56,6,8,18.898,7.102218647
52,6,8,18.903,7.100340052
59,7,7,18.909,7.098087048
11,7,6,18.914,7.096210638
47,4,8,18.917,7.095085267
59,8,4,18.918,7.094710223
62,7,6,18.918,7.094710223
