Tm,Tr,Tc,Test#1,test#2,test#3,test#4,test#5,test#6,test#7,test#8,test#9,test#10,MIN Kernel Time,,Block Size,GFLOPS
32,16,16,5.429,5.399,5.42,5.4,5.415,5.417,5.404,5.341,5.393,5.372,5.341,,8192,25.12970006
27,16,16,5.402,5.363,5.365,5.426,5.371,5.448,5.458,5.366,5.35,5.39,5.35,,6912,25.08742579
33,16,16,5.365,5.38,5.399,5.421,5.412,5.406,5.406,5.376,5.401,5.394,5.365,,8448,25.01728388
29,16,9,5.451,5.411,5.409,5.367,5.461,5.413,5.473,5.417,5.473,5.453,5.367,,4176,25.00796124
18,16,16,5.409,5.406,5.374,5.369,5.392,5.449,5.403,5.384,5.401,5.399,5.369,,4608,24.99864556
30,16,16,5.384,5.379,5.39,5.397,5.388,5.389,5.389,5.409,5.369,5.421,5.369,,7680,24.99864556
32,16,10,5.386,5.413,5.456,5.399,5.369,5.468,5.411,5.452,5.444,5.395,5.369,,5120,24.99864556
21,16,16,5.378,5.382,5.373,5.387,5.407,5.402,5.403,5.385,5.436,5.405,5.373,,5376,24.98003499
26,16,16,5.393,5.399,5.446,5.374,5.409,5.387,5.395,5.423,5.374,5.392,5.374,,6656,24.97538668
32,16,13,5.375,5.411,5.405,5.4,5.378,5.406,5.456,5.417,5.411,5.414,5.375,,6656,24.97074009
33,16,12,5.427,5.442,5.412,5.447,5.376,5.415,5.396,5.461,5.416,5.458,5.376,,6336,24.96609524
26,11,16,5.377,5.393,5.413,5.441,5.406,5.439,5.434,5.428,5.446,5.432,5.377,,4576,24.96145211
32,10,16,5.416,5.383,5.426,5.47,5.384,5.436,5.458,5.467,5.419,5.456,5.383,,5120,24.93362957
32,15,16,5.476,5.384,5.419,5.441,5.409,5.409,5.44,5.461,5.409,5.425,5.384,,7680,24.92899851
24,16,16,5.413,5.387,5.452,5.418,5.404,5.398,5.464,5.395,5.408,5.44,5.387,,6144,24.91511565
27,16,12,5.437,5.433,5.409,5.452,5.455,5.484,5.416,5.387,5.398,5.416,5.387,,5184,24.91511565
32,16,15,5.459,5.439,5.421,5.426,5.423,5.436,5.466,5.429,5.478,5.389,5.389,,7680,24.90586899
33,12,16,5.47,5.416,5.425,5.464,5.449,5.465,5.389,5.472,5.47,5.456,5.389,,6336,24.90586899
29,16,16,5.436,5.409,5.401,5.409,5.416,5.448,5.396,5.444,5.401,5.39,5.39,,7424,24.90124824
30,16,10,5.39,5.416,5.441,5.421,5.445,5.434,5.428,5.42,5.472,5.47,5.39,,4800,24.90124824
26,16,10,5.421,5.427,5.391,5.439,5.436,5.393,5.422,5.397,5.409,5.435,5.391,,4160,24.8966292
26,16,11,5.391,5.429,5.403,5.476,5.466,5.427,5.421,5.475,5.455,5.448,5.391,,4576,24.8966292
29,9,16,5.407,5.396,5.398,5.458,5.44,5.467,5.391,5.475,5.422,5.422,5.391,,4176,24.8966292
24,16,13,5.407,5.424,5.404,5.402,5.442,5.448,5.452,5.393,5.467,5.461,5.393,,4992,24.88739625
30,12,16,5.424,5.393,5.417,5.439,5.459,5.457,5.413,5.474,5.447,5.416,5.393,,5760,24.88739625
33,16,8,5.397,5.463,5.426,5.422,5.448,5.465,5.393,5.473,5.401,5.428,5.393,,4224,24.88739625
29,14,16,5.395,5.448,5.419,5.471,5.478,5.447,5.453,5.457,5.461,5.461,5.395,,6496,24.87817016
32,9,16,5.465,5.437,5.455,5.395,5.47,5.461,5.453,5.466,5.466,5.459,5.395,,4608,24.87817016
32,16,12,5.395,5.422,5.455,5.408,5.396,5.454,5.475,5.405,5.461,5.468,5.395,,6144,24.87817016
24,12,16,5.398,5.445,5.419,5.428,5.435,5.436,5.455,5.446,5.437,5.432,5.398,,4608,24.86434383
23,16,16,5.437,5.471,5.435,5.416,5.482,5.43,5.473,5.422,5.437,5.399,5.399,,5888,24.85973847
27,12,16,5.479,5.481,5.494,5.476,5.429,5.399,5.488,5.468,5.451,5.463,5.399,,5184,24.85973847
32,13,16,5.451,5.405,5.464,5.416,5.471,5.455,5.399,5.465,5.456,5.462,5.399,,6656,24.85973847
24,16,15,5.472,5.442,5.477,5.434,5.419,5.429,5.4,5.439,5.471,5.425,5.4,,5760,24.85513481
12,16,16,5.462,5.401,5.403,5.455,5.434,5.468,5.476,5.445,5.47,5.41,5.401,,3072,24.85053286
26,10,16,5.444,5.492,5.425,5.464,5.415,5.445,5.433,5.463,5.401,5.443,5.401,,4160,24.85053286
26,12,16,5.406,5.429,5.406,5.415,5.462,5.401,5.451,5.441,5.44,5.442,5.401,,4992,24.85053286
30,16,8,5.405,5.473,5.476,5.448,5.455,5.463,5.466,5.457,5.423,5.471,5.405,,3840,24.83214209
30,16,12,5.46,5.41,5.405,5.413,5.464,5.418,5.407,5.459,5.475,5.417,5.405,,5760,24.83214209
24,16,10,5.461,5.457,5.422,5.458,5.406,5.445,5.475,5.416,5.477,5.443,5.406,,3840,24.82754865
24,15,16,5.426,5.454,5.455,5.408,5.433,5.449,5.449,5.449,5.459,5.45,5.408,,5760,24.81836686
24,16,9,5.447,5.439,5.408,5.444,5.448,5.419,5.464,5.444,5.439,5.437,5.408,,3456,24.81836686
24,16,12,5.437,5.434,5.457,5.435,5.408,5.41,5.441,5.429,5.464,5.438,5.408,,4608,24.81836686
27,16,8,5.444,5.432,5.409,5.469,5.45,5.471,5.442,5.45,5.46,5.478,5.409,,3456,24.81377852
29,16,14,5.468,5.443,5.409,5.466,5.433,5.449,5.447,5.453,5.48,5.477,5.409,,6496,24.81377852
21,16,12,5.426,5.432,5.41,5.434,5.43,5.417,5.438,5.454,5.443,5.433,5.41,,4032,24.80919187
33,16,4,5.467,5.43,5.459,5.46,5.41,5.457,5.478,5.47,5.455,5.455,5.41,,2112,24.80919187
24,13,16,5.424,5.428,5.433,5.411,5.454,5.433,5.449,5.494,5.439,5.437,5.411,,4992,24.80460691
24,16,11,5.487,5.433,5.425,5.465,5.445,5.42,5.462,5.411,5.499,5.543,5.411,,4224,24.80460691
22,16,16,5.498,5.461,5.482,5.466,5.454,5.412,5.45,5.419,5.501,5.462,5.412,,5632,24.80002365
18,16,10,5.46,5.493,5.447,5.425,5.451,5.439,5.454,5.426,5.416,5.413,5.413,,2880,24.79544208
30,8,16,5.462,5.454,5.469,5.456,5.462,5.413,5.448,5.468,5.5,5.459,5.413,,3840,24.79544208
32,16,9,5.454,5.471,5.453,5.441,5.474,5.505,5.456,5.415,5.42,5.465,5.415,,4608,24.78628403
20,16,16,5.419,5.479,5.416,5.457,5.479,5.42,5.494,5.429,5.462,5.463,5.416,,5120,24.78170753
29,16,7,5.483,5.502,5.462,5.473,5.45,5.468,5.478,5.416,5.464,5.445,5.416,,3248,24.78170753
32,16,6,5.423,5.43,5.443,5.482,5.458,5.449,5.416,5.466,5.461,5.445,5.416,,3072,24.78170753
24,14,16,5.455,5.52,5.437,5.459,5.512,5.417,5.479,5.446,5.444,5.509,5.417,,5376,24.77713273
32,12,16,5.461,5.467,5.459,5.475,5.462,5.441,5.461,5.46,5.417,5.437,5.417,,6144,24.77713273
32,10,10,5.461,5.418,5.452,5.486,5.493,5.475,5.455,5.473,5.491,5.458,5.418,,3200,24.77255962
32,10,15,5.461,5.418,5.484,5.456,5.427,5.429,5.45,5.474,5.466,5.513,5.418,,4800,24.77255962
32,13,10,5.418,5.444,5.495,5.483,5.451,5.46,5.472,5.467,5.472,5.459,5.418,,4160,24.77255962
15,16,16,5.469,5.467,5.436,5.425,5.451,5.442,5.419,5.459,5.472,5.434,5.419,,3840,24.76798819
26,16,12,5.462,5.476,5.476,5.43,5.419,5.422,5.456,5.475,5.487,5.446,5.419,,4992,24.76798819
9,16,16,5.496,5.471,5.42,5.473,5.472,5.436,5.441,5.516,5.444,5.499,5.42,,2304,24.76341845
24,16,14,5.466,5.475,5.473,5.431,5.457,5.499,5.491,5.42,5.429,5.423,5.42,,5376,24.76341845
26,16,6,5.475,5.521,5.473,5.521,5.464,5.42,5.526,5.47,5.466,5.475,5.42,,2496,24.76341845
30,16,6,5.42,5.46,5.472,5.46,5.469,5.482,5.47,5.429,5.466,5.456,5.42,,2880,24.76341845
18,16,12,5.442,5.488,5.461,5.467,5.424,5.43,5.421,5.473,5.467,5.444,5.421,,3456,24.7588504
30,16,14,5.421,5.453,5.477,5.479,5.479,5.458,5.433,5.465,5.43,5.436,5.421,,6720,24.7588504
32,6,16,5.45,5.448,5.462,5.466,5.465,5.437,5.458,5.471,5.482,5.421,5.421,,3072,24.7588504
20,16,10,5.458,5.441,5.435,5.438,5.465,5.424,5.438,5.438,5.473,5.422,5.422,,3200,24.75428403
24,10,16,5.462,5.481,5.422,5.481,5.481,5.459,5.459,5.462,5.465,5.459,5.422,,3840,24.75428403
24,16,8,5.496,5.423,5.482,5.434,5.482,5.439,5.448,5.455,5.469,5.455,5.423,,3072,24.74971934
32,12,13,5.485,5.423,5.474,5.455,5.479,5.48,5.491,5.458,5.456,5.433,5.423,,4992,24.74971934
29,12,16,5.425,5.425,5.475,5.44,5.434,5.499,5.454,5.433,5.44,5.467,5.425,,5568,24.74059502
17,16,16,5.471,5.489,5.435,5.432,5.47,5.427,5.434,5.439,5.455,5.513,5.427,,4352,24.73147743
21,12,16,5.459,5.504,5.503,5.427,5.524,5.502,5.448,5.489,5.429,5.471,5.427,,4032,24.73147743
28,16,8,5.485,5.427,5.476,5.428,5.479,5.44,5.477,5.473,5.527,5.512,5.427,,3584,24.73147743
34,16,16,5.495,5.427,5.43,5.471,5.467,5.46,5.464,5.447,5.452,5.501,5.427,,8704,24.73147743
35,16,16,5.437,5.427,5.462,5.474,5.477,5.451,5.464,5.452,5.463,5.485,5.427,,8960,24.73147743
28,8,16,5.495,5.46,5.471,5.428,5.48,5.447,5.489,5.492,5.465,5.517,5.428,,3584,24.72692115
28,11,16,5.511,5.506,5.505,5.489,5.491,5.505,5.5,5.476,5.428,6.237,5.428,,4928,24.72692115
21,16,8,5.465,5.472,5.467,5.475,5.478,5.429,5.433,5.462,5.479,5.485,5.429,,2688,24.72236655
33,16,14,5.434,5.429,5.47,5.471,5.481,5.477,5.473,5.46,5.515,5.443,5.429,,7392,24.72236655
25,16,16,5.529,5.501,5.462,5.43,5.498,5.534,5.517,5.432,5.489,5.529,5.43,,6400,24.71781363
30,14,16,5.473,5.461,5.436,5.43,5.452,5.456,5.47,5.459,5.476,5.459,5.43,,6720,24.71781363
32,10,13,5.485,5.466,5.466,5.494,5.471,5.457,5.47,5.43,5.484,5.457,5.43,,4160,24.71781363
20,16,13,5.521,5.465,5.433,5.431,5.497,5.46,5.438,5.466,5.435,5.463,5.431,,4160,24.71326238
24,11,16,5.519,5.431,5.447,5.465,5.461,5.451,5.434,5.466,5.448,5.476,5.431,,4224,24.71326238
29,16,12,5.432,5.433,5.485,5.459,5.457,5.451,5.472,5.482,5.475,5.49,5.432,,5568,24.70871281
30,10,16,5.432,5.465,5.464,5.451,5.459,5.473,5.454,5.469,5.478,5.471,5.432,,4800,24.70871281
29,7,16,5.468,5.437,5.473,5.466,5.489,5.433,5.463,5.438,5.455,5.473,5.433,,3248,24.70416492
