Tm,Tr,Tc,Test#1,test#2,test#3,test#4,test#5,test#6,test#7,test#8,test#9,test#10,MIN Kernel Time,Tr*Tc,Block size,GFLOPS
26,16,8,3.071,3.087,3.106,3.045,3.115,3.016,3.047,3.058,2.976,3.105,2.976,128,3328,45.10004301
16,16,16,3.047,3.073,3.035,3.029,3.036,3.026,3.012,3.017,3.013,2.982,2.982,256,4096,45.00929846
18,16,8,3.035,3.061,3.043,3.013,3.023,3.03,2.988,3.043,3.007,3.015,2.988,128,2304,44.91891834
23,16,16,3.051,3.029,3.026,2.99,3.063,3.026,3.064,3.022,3.055,3.026,2.99,256,5888,44.88887224
19,16,16,3.08,3.012,2.995,3.037,3.041,3.036,3.024,3.037,3.032,3.02,2.995,256,4864,44.81393255
23,16,9,3.082,3.067,3.033,3.05,2.995,3.059,3.066,3.021,3.021,3.061,2.995,144,3312,44.81393255
16,16,10,3.08,3.035,3.065,3.051,3.037,3.045,3.035,3.1,3.006,3.011,3.006,160,2560,44.64994278
20,16,16,3.06,3.043,3.011,3.079,3.088,3.048,3.074,3.059,3.066,3.154,3.011,256,5120,44.57579807
23,16,11,3.086,3.055,3.092,3.015,3.055,3.054,3.056,3.074,3.118,3.072,3.015,176,4048,44.51665937
26,8,16,3.058,3.063,3.015,3.107,3.046,3.061,3.03,3.136,3.098,3.131,3.015,128,3328,44.51665937
23,13,16,3.114,3.119,3.086,3.077,3.156,3.074,3.021,3.11,3.074,3.111,3.021,208,4784,44.42824495
19,16,11,3.113,3.051,3.055,3.023,3.032,3.045,3.04,3.074,3.022,3.052,3.022,176,3344,44.41354335
19,10,16,3.111,3.046,3.053,3.086,3.023,3.088,3.046,3.049,3.093,3.063,3.023,160,3040,44.39885147
23,16,8,3.064,3.077,3.025,3.077,3.058,3.082,3.095,3.073,3.05,3.035,3.025,128,2944,44.36949686
13,16,16,3.058,3.096,3.081,3.03,3.105,3.035,3.072,3.026,3.052,3.062,3.026,256,3328,44.3548341
19,16,10,3.08,3.031,3.082,3.044,3.075,3.031,3.072,3.026,3.077,3.076,3.026,160,3040,44.3548341
16,16,13,3.088,3.064,3.036,3.092,3.059,3.065,3.079,3.074,3.055,3.027,3.027,208,3328,44.34018104
18,8,16,3.036,3.057,3.076,3.051,3.086,3.051,3.052,3.03,3.029,3.055,3.029,128,2304,44.31090393
23,12,16,3.113,3.034,3.094,3.076,3.105,3.089,3.093,3.068,3.029,3.19,3.029,192,4416,44.31090393
26,16,9,3.148,3.16,3.029,3.057,3.091,3.035,3.194,3.137,3.144,3.099,3.029,144,3744,44.31090393
23,14,16,3.053,3.068,3.104,3.048,3.15,3.066,3.135,3.031,3.117,3.089,3.031,224,5152,44.28166546
23,16,14,3.092,3.044,3.054,3.057,3.051,3.115,3.124,3.032,3.073,3.082,3.032,224,5152,44.26706069
23,16,10,3.081,3.056,3.092,3.082,3.081,3.099,3.128,3.102,3.068,3.033,3.033,160,3680,44.25246555
16,10,16,3.085,3.036,3.047,3.068,3.113,3.124,3.105,3.131,3.116,3.078,3.036,160,2560,44.20873781
23,11,16,3.038,3.085,3.037,3.075,3.064,3.043,3.051,3.134,3.079,3.04,3.037,176,4048,44.1941811
24,16,16,3.141,3.113,3.042,3.064,3.063,3.112,3.069,3.087,3.073,3.134,3.042,256,6144,44.12154109
24,16,9,3.126,3.111,3.125,3.109,3.044,3.199,3.126,3.134,3.109,3.059,3.044,144,3456,44.09255191
26,9,16,3.044,3.09,3.106,3.135,3.084,3.135,3.132,3.069,3.099,3.073,3.044,144,3744,44.09255191
27,16,10,3.065,3.126,3.104,3.113,3.061,3.105,3.084,3.044,3.083,3.201,3.044,160,4320,44.09255191
23,16,12,3.048,3.048,3.066,3.062,3.102,3.045,3.134,3.102,3.072,3.077,3.045,192,4416,44.07807159
10,16,16,3.094,3.096,3.046,3.065,3.101,3.057,3.099,3.091,3.145,3.1,3.046,256,2560,44.06360079
17,16,16,3.133,3.109,3.046,3.114,3.129,3.055,3.079,3.093,3.079,3.082,3.046,256,4352,44.06360079
23,9,16,3.053,3.073,3.098,3.048,3.046,3.086,3.086,3.086,3.065,3.093,3.046,144,3312,44.06360079
16,13,16,3.109,3.121,3.091,3.099,3.093,3.072,3.047,3.07,3.067,3.062,3.047,208,3328,44.04913948
27,10,16,3.073,3.204,3.131,3.236,3.1,3.196,3.105,3.166,3.118,3.048,3.048,160,4320,44.03468766
23,16,13,3.122,3.061,3.091,3.082,3.071,3.102,3.095,3.123,3.049,3.137,3.049,208,4784,44.02024533
27,16,9,3.05,3.052,3.077,3.077,3.12,3.134,3.065,3.108,3.06,3.129,3.05,144,3888,44.00581246
19,11,16,3.14,3.051,3.086,3.133,3.075,3.053,3.089,3.07,3.08,3.094,3.051,176,3344,43.99138905
22,16,16,3.099,3.144,3.063,3.052,3.085,3.085,3.109,3.175,3.171,3.121,3.052,256,5632,43.9769751
23,15,16,3.123,3.064,3.116,3.054,3.113,3.143,3.113,3.122,3.059,3.087,3.054,240,5520,43.94817551
24,16,11,3.139,3.105,3.104,3.097,3.066,3.106,3.058,3.054,3.069,3.128,3.054,176,4224,43.94817551
27,11,16,3.107,3.183,3.118,3.102,3.093,3.184,3.227,3.205,3.11,3.054,3.054,176,4752,43.94817551
20,16,8,3.118,3.059,3.123,3.152,3.061,3.119,3.064,3.063,3.056,3.107,3.056,128,2560,43.91941361
23,10,16,3.137,3.082,3.107,3.058,3.074,3.068,3.131,3.066,3.062,3.081,3.058,160,3680,43.89068934
24,8,16,3.189,3.058,3.131,3.181,3.113,3.149,3.064,3.105,3.119,3.133,3.058,128,3072,43.89068934
20,16,13,3.096,3.138,3.059,3.098,3.078,3.099,3.185,3.122,3.069,3.125,3.059,208,4160,43.87634129
21,16,16,3.06,3.122,3.065,3.072,3.065,3.118,3.131,3.06,3.119,3.124,3.06,256,5376,43.86200261
23,16,15,3.094,3.086,3.072,3.103,3.08,3.064,3.079,3.158,3.147,3.062,3.062,240,5520,43.83335336
27,16,11,3.073,3.069,3.182,3.178,3.173,3.125,3.109,3.135,3.182,3.064,3.064,176,4752,43.80474151
24,16,13,3.133,3.066,3.081,3.067,3.118,3.135,3.111,3.065,3.092,3.19,3.065,208,4992,43.79044959
