Tm,Tr,Tc,Kernel Time,GFLOPS
128,16,13,2.319,57.87741613
128,15,16,2.33,57.60417511
113,11,16,2.334,57.5054533
81,16,8,2.335,57.4808257
81,16,11,2.335,57.4808257
106,11,16,2.342,57.30902135
95,12,16,2.343,57.28456167
128,9,13,2.344,57.26012287
16,16,16,2.345,57.2357049
105,12,16,2.345,57.2357049
69,16,8,2.346,57.21130776
128,11,11,2.351,57.08963335
87,16,16,2.353,57.04110837
74,9,16,2.355,56.99266582
128,16,14,2.355,56.99266582
88,16,14,2.357,56.94430547
114,16,16,2.358,56.92015606
128,16,11,2.359,56.89602713
47,16,16,2.36,56.87191864
81,8,16,2.36,56.87191864
128,16,16,2.36,56.87191864
69,9,16,2.361,56.84783058
75,16,9,2.361,56.84783058
81,9,16,2.361,56.84783058
128,14,16,2.361,56.84783058
68,16,13,2.362,56.82376291
75,16,12,2.362,56.82376291
68,16,8,2.363,56.79971562
82,16,15,2.363,56.79971562
88,16,16,2.364,56.77568866
115,16,16,2.364,56.77568866
128,14,8,2.364,56.77568866
14,16,16,2.365,56.75168203
81,16,16,2.365,56.75168203
106,16,8,2.366,56.72769569
128,11,13,2.366,56.72769569
68,14,16,2.368,56.67978378
81,10,16,2.369,56.65585817
115,16,10,2.37,56.63195274
128,9,16,2.37,56.63195274
128,10,16,2.37,56.63195274
128,13,16,2.37,56.63195274
105,16,16,2.371,56.60806748
69,14,16,2.372,56.58420236
128,12,11,2.372,56.58420236
105,16,12,2.373,56.56035735
94,16,12,2.374,56.53653243
113,16,16,2.374,56.53653243
95,16,16,2.375,56.51272758
115,10,16,2.375,56.51272758
128,10,8,2.376,56.48894276
69,16,16,2.378,56.44143314
82,13,16,2.378,56.44143314
94,8,16,2.378,56.44143314
105,16,9,2.378,56.44143314
113,8,16,2.379,56.41770828
68,13,16,2.38,56.39400336
87,16,11,2.38,56.39400336
68,7,16,2.381,56.37031835
121,11,16,2.381,56.37031835
128,9,10,2.384,56.29938255
82,16,12,2.385,56.27577694
106,8,16,2.385,56.27577694
59,16,8,2.386,56.25219111
128,9,9,2.387,56.22862505
115,9,16,2.388,56.20507873
128,6,9,2.388,56.20507873
128,16,15,2.388,56.20507873
59,16,16,2.39,56.15804519
108,16,12,2.391,56.13455793
87,16,8,2.393,56.08764229
94,14,16,2.393,56.08764229
32,16,9,2.394,56.06421387
68,16,16,2.394,56.06421387
83,16,9,2.395,56.04080501
94,11,16,2.396,56.01741569
53,16,16,2.397,55.99404589
75,16,7,2.397,55.99404589
76,9,16,2.399,55.94736474
94,16,11,2.399,55.94736474
95,16,9,2.399,55.94736474
32,16,16,2.4,55.92405333
76,16,15,2.4,55.92405333
105,7,16,2.4,55.92405333
105,15,16,2.402,55.87748876
128,15,12,2.403,55.85423554
87,8,16,2.404,55.83100166
128,8,10,2.404,55.83100166
53,16,8,2.406,55.78459185
93,16,9,2.406,55.78459185
108,12,16,2.406,55.78459185
128,15,13,2.406,55.78459185
99,6,16,2.41,55.69200332
107,8,12,2.41,55.69200332
115,8,16,2.41,55.69200332
128,14,9,2.41,55.69200332
114,16,12,2.412,55.64582421
24,16,16,2.413,55.62276337
76,16,10,2.413,55.62276337
86,9,16,2.414,55.59972162
106,16,14,2.414,55.59972162
88,16,15,2.415,55.57669896
94,16,9,2.415,55.57669896
115,11,16,2.415,55.57669896
81,16,10,2.416,55.55369536
121,16,10,2.416,55.55369536
48,16,16,2.417,55.5307108
68,9,16,2.417,55.5307108
82,9,16,2.417,55.5307108
93,16,6,2.417,55.5307108
113,14,16,2.417,55.5307108
19,16,16,2.418,55.50774524
69,11,16,2.418,55.50774524
88,15,16,2.418,55.50774524
99,16,12,2.418,55.50774524
106,16,12,2.418,55.50774524
107,8,16,2.418,55.50774524
116,16,12,2.418,55.50774524
